"Years" "conference" "offName" "school" "Division" "offName"
1937 "Southern California Intercollegiate Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1938 "Southern California Intercollegiate Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1939 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1940 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1941 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1942 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1943 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1944 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1945 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1946 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1947 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1948 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1949 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1950 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1951 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1952 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1953 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1954 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1955 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1956 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1957 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1958 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1959 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1960 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1961 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1962 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1963 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1964 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1965 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1966 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1967 "California Collegiate Athletic Association" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1968 "Independent" "San Diego State University" "San Diego St. (CA)" "NCAA College Division (Small College)" "San Diego State University"
1969 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA University Division (Major College)" "San Diego State University"
1970 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA University Division (Major College)" "San Diego State University"
1971 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA University Division (Major College)" "San Diego State University"
1972 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA University Division (Major College)" "San Diego State University"
1973 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I" "San Diego State University"
1974 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I" "San Diego State University"
1975 "Big West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I" "San Diego State University"
1976 "Division I Independent" "San Diego State University" "San Diego St. (CA)" "NCAA Division I" "San Diego State University"
1977 "Division I Independent" "San Diego State University" "San Diego St. (CA)" "NCAA Division I" "San Diego State University"
1978 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1979 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1980 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1981 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1982 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1983 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1984 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1985 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1986 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1987 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1988 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1989 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1990 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1991 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1992 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1993 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1994 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1995 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1996 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1997 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1998 "Western Athletic Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1999 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2000 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2001 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2002 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2003 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2004 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2005 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2006 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2007 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2008 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2009 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2010 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2011 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
2012 "Mountain West Conference" "San Diego State University" "San Diego St. (CA)" "NCAA Division I-A" "San Diego State University"
1893 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1894 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1895 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1896 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1897 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1898 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1899 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1900 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1901 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1902 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1903 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1904 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1905 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1906 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1907 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1908 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1909 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1910 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1911 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1912 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1913 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1914 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1915 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1916 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1917 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1918 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1919 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1920 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1921 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1922 "California Coast Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1923 "California Coast Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1924 "California Coast Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1925 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1926 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1927 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1928 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1929 "Northern California Athletic Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1930 "Northern California Athletic Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1931 "Northern California Athletic Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1932 "Northern California Athletic Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1933 "Northern California Athletic Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1934 "Northern California Athletic Conference" "San Jose State University" "San Jose St. (CA)" NA NA
1935 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1936 "Independent" "San Jose State University" "San Jose St. (CA)" NA NA
1937 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1938 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1939 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1940 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1941 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1942 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1943 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1944 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1945 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1946 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1947 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1948 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1949 "California Collegiate Athletic Association" "San Jose State University" "San Jose St. (CA)" "NCAA College Division (Small College)" "San Jose State University"
1950 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1951 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1952 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1953 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1954 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1955 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1956 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1957 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1958 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1959 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1960 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1961 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1962 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1963 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1964 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1965 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1966 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1967 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1968 "Independent" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1969 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1970 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1971 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1972 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA University Division (Major College)" "San Jose State University"
1973 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I" "San Jose State University"
1974 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I" "San Jose State University"
1975 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I" "San Jose State University"
1976 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I" "San Jose State University"
1977 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I" "San Jose State University"
1978 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1979 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1980 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1981 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1982 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1983 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1984 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1985 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1986 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1987 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1988 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1989 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1990 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1991 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1992 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1993 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1994 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1995 "Big West Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1996 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1997 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1998 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1999 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2000 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2001 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2002 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2003 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2004 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2005 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2006 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2007 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2008 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2009 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2010 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2011 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
2012 "Western Athletic Conference" "San Jose State University" "San Jose St. (CA)" "NCAA Division I-A" "San Jose State University"
1892 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1893 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1894 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1895 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1896 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1897 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1898 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1899 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1900 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1901 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1902 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1903 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1904 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1905 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1906 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1907 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1908 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1909 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1910 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1911 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1912 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1913 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1914 "Independent" "University of South Carolina-Columbia" "South Carolina" NA NA
1915 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1916 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1917 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1918 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1919 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1920 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1921 "Southern Intercollegiate Athletic Association" "University of South Carolina-Columbia" "South Carolina" NA NA
1922 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1923 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1924 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1925 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1926 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1927 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1928 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1929 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1930 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1931 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1932 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1933 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1934 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1935 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1936 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" NA NA
1937 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA College Division (Small College)" "University of South Carolina-Columbia"
1938 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA College Division (Small College)" "University of South Carolina-Columbia"
1939 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1940 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1941 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1942 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1943 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1944 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1945 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1946 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1947 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1948 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1949 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1950 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1951 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1952 "Southern Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1953 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1954 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1955 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1956 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1957 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1958 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1959 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1960 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1961 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1962 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1963 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1964 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1965 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1966 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1967 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1968 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1969 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1970 "Atlantic Coast Conference" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1971 "Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1972 "Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA University Division (Major College)" "University of South Carolina-Columbia"
1973 "Division I Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I" "University of South Carolina-Columbia"
1974 "Division I Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I" "University of South Carolina-Columbia"
1975 "Division I Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I" "University of South Carolina-Columbia"
1976 "Division I Independent" "University of South Carolina-Columbia" "South Carolina" "NCAA Division I" "University of South Carolina-Columbia"
