"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"W" "12-08-1973" 23 "South Carolina St." 12 "Orange Blossom Classic" 1 12 8 1973 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-07-1974" 17 "Howard (DC)" 13 "Orange Blossom Classic" 1 12 7 1974 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-06-1975" 40 "Kentucky St." 13 "Orange Blossom Classic" 1 12 6 1975 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-04-1976" 26 "Central St. (OH)" 21 "Orange Blossom Classic" 1 12 4 1976 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-03-1977" 37 "Delaware St." 15 "Orange Blossom Classic" 1 12 3 1977 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-02-1978" 31 "Grambling St. (LA)" 7 "Orange Blossom Classic" 1 12 2 1978 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-16-1978" 35 "Massachusetts" 28 "Pioneer Bowl (1) - Division I-AA Championship Game" 1 12 16 1978 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "01-02-1993" 15 "Grambling St. (LA)" 45 "Heritage Bowl" 1 1 2 1993 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-29-1995" 25 "Southern (LA)" 30 "Heritage Bowl" 1 12 29 1995 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "01-01-1941" 12 "Texas A&M" 13 "Cotton Bowl" 0 1 1 1941 "Fordham (NY)" "Fordham University"
"W" "01-01-1942" 2 "Missouri" 0 "Sugar Bowl" 0 1 1 1942 "Fordham (NY)" "Fordham University"
"L" "11-16-1991" 19 "Holy Cross (MA)" 24 "Wild Geese Classic" 1 11 16 1991 "Fordham (NY)" "Fordham University"
"L" "12-21-1985" 42 "Georgia Southern" 44 "Diamond Bowl - Division I-AA Championship Game" 1 12 21 1985 "Furman (SC)" "Furman University"
"L" "1951" 0 "South Georgia College" 6 "Golden Isles Bowl" 1 1951 12 8 "Gardner-Webb (NC)" "Gardner-Webb University"
"L" "12-08-1973" 10 "Stephen F. Austin (TX)" 31 "Poultry Bowl" 1 1973 12 12 "Gardner-Webb (NC)" "Gardner-Webb University"
"L" "12-12-1992" 16 "Central St. (OH)" 19 "Championship Bowl - NAIA Division I Championship Game" 1 1992 11 17 "Gardner-Webb (NC)" "Gardner-Webb University"
