"Team","Year","oW","oL","cW","cL","stand","bowl","coachRank","apRank","sportsNetworkRank"
"Ball State",2003,4,8,3,5,4,"",NA,NA,NA
"Ball State",2004,2,9,2,6,6,"",NA,NA,NA
"Ball State",2005,4,7,4,4,5,"",NA,NA,NA
"Ball State",2006,5,7,5,3,3,"",NA,NA,NA
"Ball State",2007,7,6,5,2,2,"L International",NA,NA,NA
"Ball State",2008,12,1,8,0,1,"GMAC*",NA,NA,NA
"San Diego State",2009,4,8,2,6,7,"",NA,NA,NA
"San Diego State",2010,9,4,5,3,3,"W Poinsettia",NA,NA,NA
"Michigan",2011,11,2,6,2,2,"W Sugar†",9,12,NA
"Michigan",2012,8,5,6,2,2,"L Outback",NA,24,NA
"Michigan",2013,7,3,3,3,NA,"",NA,NA,NA
"Cincinnati",2004,7,5,5,3,2,"W Fort Worth",NA,NA,NA
"Cincinnati",2005,4,7,2,5,6,"",NA,NA,NA
"Cincinnati",2006,7,5,4,3,4,"International*",NA,NA,NA
"Michigan State",2007,7,6,3,5,7,"L Champs Sports",NA,NA,NA
"Michigan State",2008,9,4,6,2,3,"L Capital One",24,24,NA
"Michigan State",2009,6,7,4,4,6,"L Alamo",NA,NA,NA
"Michigan State",2010,11,2,7,1,1,"L Capital One",14,14,NA
"Michigan State",2011,11,3,7,1,1,"W Outback",10,11,NA
"Michigan State",2012,7,6,3,5,4,"W Buffalo Wild Wings",NA,NA,NA
"Michigan State",2013,9,1,6,0,NA,"",NA,NA,NA
"Saginaw Valley State",1994,6,4,6,4,4,"",NA,NA,NA
"Saginaw Valley State",1995,7,3,7,3,3,"",NA,NA,NA
"Saginaw Valley State",1996,7,3,7,3,3,"",NA,NA,NA
"Saginaw Valley State",1997,9,2,8,2,3,"",NA,NA,NA
"Saginaw Valley State",1998,9,2,8,2,2,"",NA,NA,NA
"Emporia State",1999,5,6,4,5,5,"",NA,NA,NA
"Emporia State",2000,6,5,5,4,4,"",NA,NA,NA
"Southern Illinois",2001,1,10,1,6,7,"",NA,NA,NA
"Southern Illinois",2002,4,8,2,5,6,"",NA,NA,NA
"Southern Illinois",2003,10,2,6,1,1,"L NCAA Division I-AA First round",NA,NA,NA
"Southern Illinois",2004,10,2,7,0,1,"L NCAA Division I-AA First round",NA,NA,NA
"Southern Illinois",2005,9,4,5,2,1,"L NCAA Division I-AA Second round",NA,NA,NA
