"Years" "Conference" "offName" "school" "Division" "school"
1998 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1999 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2000 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2001 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2002 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2003 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2004 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2005 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2006 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2007 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2008 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2009 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2010 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2011 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
2012 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1921 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1922 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1923 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1924 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1925 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
1926 "Independent" "Alcorn State University" "Alcorn St. (MS)" NA NA
