"Years" "Conference" "offName" "school" "Division" "school"
1941 "Southern Intercollegiate Athletic Association" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1942 "Independent" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1943 "Independent" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1944 "Independent" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1945 "Independent" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1946 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1947 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1948 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1949 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1950 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NCAA College Division (Small College)" "Presbyterian (SC)"
1951 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "N/A" "Presbyterian (SC)"
1952 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "N/A" "Presbyterian (SC)"
1953 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "N/A" "Presbyterian (SC)"
1954 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "N/A" "Presbyterian (SC)"
1955 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "N/A" "Presbyterian (SC)"
1956 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "N/A" "Presbyterian (SC)"
1957 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1958 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1959 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1960 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1961 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1962 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1963 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1964 "South Carolina Little Three" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1964 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1965 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1966 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1967 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1968 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1969 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA" "Presbyterian (SC)"
1970 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1971 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1972 "Carolinas Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1973 "NAIA Independent" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1974 "NAIA Independent" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1975 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1976 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1977 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1978 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1979 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1980 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1981 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1982 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1983 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1984 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1985 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1986 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1987 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1988 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1989 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1990 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1991 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1991 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1992 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NAIA Division I" "Presbyterian (SC)"
1992 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1993 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1994 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1995 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1996 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1997 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1998 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
1999 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2000 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2001 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2002 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2003 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2004 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2005 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2006 "South Atlantic Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2007 "Division II Independent" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2008 "Big South Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2009 "Big South Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2010 "Big South Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division II" "Presbyterian (SC)"
2011 "Big South Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division I-AA" "Presbyterian (SC)"
2012 "Big South Conference" "Presbyterian College" "Presbyterian (SC)" "NCAA Division I-AA" "Presbyterian (SC)"
1869 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1870 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1871 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1872 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1873 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1874 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1875 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1876 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1877 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1878 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1879 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1880 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1881 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1882 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1883 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1884 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1885 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1886 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1887 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1888 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1889 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1890 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1891 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1892 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1893 "Intercollegiate Football Association" "Princeton University" "Princeton (NJ)" NA NA
1894 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1895 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1896 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1897 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1898 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1899 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1900 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1901 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1902 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1903 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1904 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1905 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1906 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1907 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1908 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1909 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1910 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1911 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1912 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1913 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1914 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1915 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1916 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1917 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1918 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1919 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1920 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1921 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1922 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1923 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1924 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1925 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1926 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1927 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1928 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1929 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1930 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1931 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1932 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1933 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1934 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1935 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1936 "Independent" "Princeton University" "Princeton (NJ)" NA NA
1937 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1938 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1939 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1940 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1941 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1942 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1943 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1944 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1945 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1946 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1947 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1948 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1949 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1950 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1951 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1952 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1953 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1954 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1955 "Independent" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1956 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1957 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1958 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1959 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1960 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1961 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1962 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1963 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1964 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1965 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1966 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1967 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1968 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1969 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1970 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1971 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1972 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA University Division (Major College)" "Princeton (NJ)"
1973 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I" "Princeton (NJ)"
1974 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I" "Princeton (NJ)"
1975 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I" "Princeton (NJ)"
1976 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I" "Princeton (NJ)"
1977 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I" "Princeton (NJ)"
1978 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-A" "Princeton (NJ)"
1979 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-A" "Princeton (NJ)"
1980 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-A" "Princeton (NJ)"
1981 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-A" "Princeton (NJ)"
1982 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1983 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1984 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1985 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1986 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1987 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1988 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1989 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1990 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1991 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1992 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1993 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1994 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1995 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1996 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1997 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1998 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1999 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2000 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2001 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2002 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2003 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2004 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2005 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2006 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2007 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2008 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2009 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2010 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2011 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
2012 "Ivy League" "Princeton University" "Princeton (NJ)" "NCAA Division I-AA" "Princeton (NJ)"
1895 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1896 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1897 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1898 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1899 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1900 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1901 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1902 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1903 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1904 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1905 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1906 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1907 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1908 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1909 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1910 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1911 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1912 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1913 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1914 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1915 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1916 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1917 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1918 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1919 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1920 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1921 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1922 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1923 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1924 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1925 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1926 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1927 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1928 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1929 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1930 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1931 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1932 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1933 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1934 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1935 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1936 "Independent" "University of Rhode Island" "Rhode Island" NA NA
1937 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1938 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1939 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1940 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1941 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1942 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1943 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1944 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1945 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
1946 "Independent" "University of Rhode Island" "Rhode Island" "NCAA College Division (Small College)" "Rhode Island"
2007 "Colonial Athletic Association" "University of Rhode Island" "Rhode Island" "NCAA Division I-AA" "Rhode Island"
2008 "Colonial Athletic Association" "University of Rhode Island" "Rhode Island" "NCAA Division I-AA" "Rhode Island"
2009 "Colonial Athletic Association" "University of Rhode Island" "Rhode Island" "NCAA Division I-AA" "Rhode Island"
2010 "Colonial Athletic Association" "University of Rhode Island" "Rhode Island" "NCAA Division I-AA" "Rhode Island"
2011 "Colonial Athletic Association" "University of Rhode Island" "Rhode Island" "NCAA Division I-AA" "Rhode Island"
2012 "Colonial Athletic Association" "University of Rhode Island" "Rhode Island" "NCAA Division I-AA" "Rhode Island"
1881 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1882 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1883 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1884 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1885 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1886 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1887 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1888 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1889 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1890 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1891 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1892 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1893 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1894 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1895 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1896 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1897 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1898 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1899 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1900 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1901 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1902 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1903 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1904 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1905 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1906 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1907 "South Atlantic Intercollegiate Athletic Association" "University of Richmond" "Richmond (VA)" NA NA
1908 "South Atlantic Intercollegiate Athletic Association" "University of Richmond" "Richmond (VA)" NA NA
1909 "South Atlantic Intercollegiate Athletic Association" "University of Richmond" "Richmond (VA)" NA NA
1910 "South Atlantic Intercollegiate Athletic Association" "University of Richmond" "Richmond (VA)" NA NA
1911 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1912 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1913 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1914 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1915 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1916 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1917 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1918 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1919 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1920 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1921 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1922 "Independent" "University of Richmond" "Richmond (VA)" NA NA
1923 "Independent" "University of Richmond" "Richmond (VA)" NA NA
