"no","name","pos","ht","wt","class","hometown","year"
65,"Andy Brown","OL ","6-2 ",296,"So./Fr. ","Grand Ledge, Mich.  (Grand Ledge) ",2000
9,"Tyrece Butler*","WR ","6-3 ",204,"So./So. ","Indianapolis, Ind.  (Decatur Central) ",2000
91,"Emmanuel Casseus*","LB ","6-2 ",237,"Fr./Fr. ","Montreal, Quebec  (Vieux Montreal) ",2000
17,"Sean Cassidy","QB ","6-4 ",217,"Fr./Fr. ","Columbus, Ohio  (Fork Union) ",2000
55,"Andy Christopfel","OL ","6-3 ",279,"Fr./Fr. ","Cincinnati, Ohio  (Elder) ",2000
39,"Evan Coleman***","OLB ","6-0 ",269,"Jr./Jr. ","Houston, Texas  (Elsik) ",2000
31,"Zia Combs","CB ","5-11 ",169,"Fr./Fr. ","Lexington, Ky.  (Henry Clay) ",2000
8,"Walter Cross***","RB ","5-11 ",209,"Jr./Jr. ","Fort Washington, Md.  (Oxon Hill) ",2000
33,"Brent Cummings","WR ","5-11 ",184,"So./Fr. ","Belding, Mich.  (Belding) ",2000
26,"Julius Curry**","SS ","6-0 ",191,"Jr./So. ","Detroit, Mich.  (Bishop Gallagher) ",2000
63,"P.J. Cwayna*","ILB ","5-11 ",225,"Sr./Jr. ","Grand Rapids, Mich.  (East) ",2000
45,"Jeff Del Verne**","PK ","5-11 ",211,"5th/Sr. ","Sylvania, Ohio  (St. John's) ",2000
15,"Travis DeMeester","TE ","6-3 ",233,"Jr./Sr. ","Ludington, Mich.  (Ludington) ",2000
73,"Joe Denay*","OL ","6-7 ",298,"Jr./So. ","Bay City, Mich.  (John Glenn) ",2000
43,"Carl Diggs*","LB ","6-1 ",245,"So./Fr. ","Warren, Ohio  (Warren G. Harding) ",2000
24,"Charles Drake**","DB ","6-1 ",197,"So./So. ","Los Angeles, Calif.  (Westchester) ",2000
89,"Deitan Dubuc*","TE ","6-3 ",249,"Jr./So. ","Fabreville, Quebec  (Vieux Montreal) ",2000
38,"Kevin Dudley","FB ","6-0 ",208,"Fr./Fr. ","Brookville, Ind.  (Franklin County) ",2000
89,"Tyler Ecker","TE ","6-6 ",240,"Fr./Fr. ","El Dorado Hills, Calif.  (Oak Ridge) ",2000
25,"Hayden Epstein***","P/PK ","6-2 ",205,"Jr./Jr. ","Cardiff, Calif.  (Torrey Pines) ",2000
34,"Justin Fargas**","RB ","6-1 ",196,"Jr./So. ","Encino, Calif.  (Notre Dame) ",2000
88,"Adam Finley","P/PK ","6-3 ",226,"Fr./Fr. ","Greenwood, Ind.  (Center Grove) ",2000
86,"Jim Fisher","TE ","6-5 ",225,"Fr./Fr. ","Huron, Ohio  (Huron) ",2000
17,"Larry Foote***","ILB ","6-1 ",228,"Jr./Jr. ","Detroit, Mich.  (Pershing) ",2000
36,"Bob Fraumann*","LB ","6-3 ",220,"Sr./Jr. ","Deerfield, Ill.  (Deerfield) ",2000
99,"Jake Frysinger****","DL ","6-4 ",277,"Sr./Sr. ","Grosse Ile, Mich.  (Grosse Ile) ",2000
64,"Jeff Gaston","OL ","6-5 ",262,"Fr./Fr. ","Ridgewood, N.J.  (Bergen Catholic) ",2000
82,"Joe Ghannam","P ","6-0 ",184,"So./Fr. ","Farmington Hills, Mich.  (Harrison) ",2000
18,"Jermaine Gonzales","QB ","6-2 ",201,"Fr./Fr. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2000
78,"Jonathan Goodwin**","OL ","6-4 ",294,"Sr./Jr. ","Columbia, S.C.  (Lower-Richland) ",2000
7,"Drew Henson***","QB ","6-4 ",219,"Jr./Jr. ","Brighton, Mich.  (Brighton) ",2000
90,"Norman Heuer*","DL ","6-5 ",278,"So./Fr. ","Peoria, Ariz.  (Cactus) ",2000
6,"Victor Hobson**","OLB ","6-1 ",242,"Jr./So. ","Mt. Laurel, N.J.  (St. Joseph's Prep) ",2000
3,"Todd Howard***","CB ","5-10 ",183,"Jr./Jr. ","Bolingbrook, Ill.  (Bolingbrook) ",2000
76,"Steve Hutchinson**** (c)","OL ","6-5 ",299,"5th/Sr. ","Coral Springs, Fla.  (Coral Springs) ",2000
18,"Elton Jones","LB ","6-1 ",200,"So./Fr. ","Lansing, Mich.  (Eastern) ",2000
4,"Tommy Jones*","WR ","5-8 ",196,"5th/Sr. ","Lansing, Mich.  (Sexton) ",2000
83,"Bennie Joppru**","TE ","6-4 ",258,"Jr./So. ","Wayzata, Minn.  (Minnetonka) ",2000
28,"Anthony Jordan***","LB ","6-0 ",226,"Sr./Jr. ","Jersey City, N.J.  (St. Peters Prep) ",2000
2,"Cato June*","FS ","6-1 ",213,"Jr./So. ","Washington, D.C.  (Anacostia) ",2000
12,"Mike Kaselitz","QB ","6-4 ",210,"So./Fr. ","Grosse Pointe City, Mich.  (South) ",2000
95,"Alain Kashama*","DL ","6-4 ",236,"Fr./Fr. ","Montreal, Quebec  (Vieux Montreal) ",2000
58,"Michael Kasiborski","DL/LS ","6-2 ",250,"Fr./Fr. ","Grosse Pointe Woods, Mich.  (North) ",2000
37,"Zach Kaufman*","LB ","6-1 ",222,"Fr./Fr. ","Claremont, Calif.  (Claremont) ",2000
22,"Ross Kesler","WR ","6-2 ",178,"Fr./Fr. ","Warsaw, Ind.  (Warsaw) ",2000
62,"Brodie Killian*","OLB ","6-3 ",230,"Sr./Jr. ","Dearborn, Mich.  (Dearborn) ",2000
36,"Brian Lafer","WR ","5-11 ",176,"Fr./Fr. ","Farmington Hill, Mich.  (North Farmington) ",2000
97,"Shawn Lazarus***","DL ","6-3 ",278,"Jr./So. ","Canal Fulton, Ohio  (Northwest) ",2000
21,"Jeremy LeSueur*","CB ","6-0 ",191,"So./Fr. ","Holly Springs, Miss.  (Holly Springs) ",2000
52,"Ross Mann","LS ","6-2 ",230,"Fr./Fr. ","Pikeville, Ky.  (Lexington Catholic) ",2000
58,"Roy Manning","LB ","6-2 ",213,"Fr./Fr. ","Saginaw, Mich.  (Saginaw) ",2000
20,"Michael Manning*","CB ","6-2 ",208,"Sr./Jr. ","Worcester, Mass.  (St. John's) ",2000
72,"Ben Mast**","OL ","6-4 ",298,"Sr./Jr. ","Massilon, Ohio  (Washington) ",2000
14,"Andy Mignery","QB ","6-3 ",234,"So./Fr. ","Hamilton, Ohio  (Hamilton) ",2000
70,"Jeremy Miller**","LS ","6-0 ",225,"Sr./Jr. ","Swanton, Ohio  (St. John's) ",2000
62,"Courtney Morgan","OL ","6-2 ",299,"So./Fr. ","Los Angeles, Calif.  (Westchester) ",2000
56,"Dwight Mosely","LB ","6-1 ",250,"Jr./Sr. ","Fort Wayne, Ind.  (Snider) ",2000
49,"Kirk Moundros*","FB ","6-2 ",237,"Jr./So. ","Farmington Hills, Mich.  (North Farmington) ",2000
38,"Blake Nasif*","DB ","6-0 ",189,"Jr./So. ","Lansing, Mich.  (Grand Ledge) ",2000
16,"John Navarre*","QB ","6-6 ",242,"So./Fr. ","Cudahy, Wis.  (Cudahy) ",2000
53,"Shantee Orr*","LB ","6-1 ",246,"So./Fr. ","Detroit, Mich.  (Denby) ",2000
28,"Scott Panique","FB ","5-10 ",253,"Jr./So. ","Santa Ana, Calif.  (Mater Dei) ",2000
77,"Tony Pape*","OL ","6-6 ",299,"So./Fr. ","Clarendon Hills, Ill.  (Hinsdale South) ",2000
15,"DeWayne Patmon****","SS ","6-0 ",192,"Sr./Sr. ","San Deigo, Calif.  (Patrick Henry) ",2000
57,"Dave Pearson*","DL ","6-2 ",274,"So./Fr. ","Brighton, Mich.  (Brighton) ",2000
97,"Luke Perl","K ","6-0 ",193,"Fr./Fr. ","Grand Rapids, Mich.  (Forest Hills Northern) ",2000
23,"Chris Perry*","RB ","6-2 ",228,"Fr./Fr. ","Advance, N.C.  (Fork Union Military Academy, Va.) ",2000
96,"Dave Petruziello**","DL ","6-4 ",283,"Jr./So. ","Mentor, Ohio  (Lake Catholic) ",2000
55,"Jeremy Read","LB ","6-1 ",228,"Fr./Fr. ","San Diego, Calif.  (Rancho Bernardo) ",2000
37,"Jeff Rich","LB ","5-11 ",230,"So./Fr. ","Youngstown, Ohio  (Cardinal Mooney) ",2000
29,"Aaron Richards*","WR ","5-8 ",176,"Sr./Jr. ","Reading, Mich.  (Reading) ",2000
88,"Gary Rose*","DL ","6-4 ",285,"Sr./Jr. ","Quinnesec, Mich.  (Kingsford) ",2000
40,"Eric Rosel***","TE ","6-3 ",240,"Sr./Jr. ","Liberal, Kan.  (Liberal) ",2000
92,"Dan Rumishek**","DL ","6-3 ",277,"Jr./So. ","Addison, Ill.  (Addison Trail) ",2000
23,"Cory Sargent*","P ","6-3 ",201,"5th/Sr. ","South Lyon, Mich.  (South Lyon) ",2000
46,"Andy Sechler***","OLB ","6-1 ",238,"5th/Sr. ","Union City, Mich.  (Union City) ",2000
81,"Bill Seymour***","TE ","6-3 ",252,"Sr./Jr. ","Granger, Ind.  (Penn) ",2000
50,"Joe Sgroi**","LB ","5-11 ",216,"Jr./So. ","Plymouth, Mich.  (Catholic Central) ",2000
22,"Jon Shaw*","FS ","5-11 ",197,"So./Fr. ","Coral Springs, Fla.  (St. Thomas Aquinas) ",2000
13,"Brian Smalls","CB ","5-6 ",167,"So./So. ","Williamsburg, Va.  (Lafayette) ",2000
82,"Rudy Smith*","WR ","6-3 ",217,"Sr./Jr. ","Knoxville, Tenn.  (Farragut) ",2000
74,"Demeterius Solomon*","OL ","6-6 ",297,"So./Fr. ","Flint, Mich.  (Northern) ",2000
42,"John Spytek*","LB ","6-3 ",243,"So./Fr. ","Pewaukee, Wis.  (Catholic Memorial) ",2000
99,"Andy Stejskal","WR ","6-3 ",170,"Fr./Fr. ","Ann Arbor, Mich.  (Pioneer) ",2000
13,"Larry Stevens*","LB ","6-4 ",229,"Fr./Fr. ","Tacoma, Wash.  (Woodrow Wilson) ",2000
1,"David Terrell***","WR ","6-3 ",213,"Jr./Jr. ","Richmond, Va.  (Huguenot) ",2000
32,"Anthony Thomas**** (c)","RB ","6-2 ",223,"Sr./Sr. ","Winnfield, La.  (Winnfield) ",2000
84,"Shawn Thompson***","TE ","6-4 ",254,"Sr./Jr. ","Saginaw, Mich.  (Nouvel) ",2000
66,"Caene Turner","LB ","5-11 ",210,"Fr./Fr. ","Detroit, Mich.  (Martin Luther King) ",2000
30,"Tad Van Pelt","DB ","5-10 ",185,"Jr./So. ","Owosso, Mich.  (Corunna) ",2000
4,"Marquise Walker***","WR ","6-3 ",212,"Jr./Jr. ","Syracuse, N.Y.  (Henninger) ",2000
63,"Eric Warner*","OL ","6-5 ",289,"5th/Sr. ","Brighton, Mich.  (Brighton) ",2000
32,"Kolby Wells","LB ","6-2 ",247,"Fr./Fr. ","Summer Field, Fla.  (Belleview) ",2000
5,"James Whitely****","CB ","5-11 ",192,"Sr./Sr. ","Norfolk, Va.  (Norview) ",2000
49,"Michael Williams","LB ","6-0 ",230,"Fr./Fr. ","Flint, Mich.  (Northwestern) ",2000
12,"Brandon Williams**","CB ","5-11 ",180,"So./So. ","Omaha, Neb.  (Central) ",2000
14,"Dan Williams****","CB ","6-0 ",192,"5th/Sr. ","Temperance, Mich.  (Bedford) ",2000
54,"Maurice Williams****","OL ","6-5 ",298,"Sr./Sr. ","Detroit, Mich.  (Pershing) ",2000
94,"Eric Wilson**** (c)","DL ","6-4 ",282,"5th/Sr. ","Monroe, Mich.  (Monroe) ",2000
68,"John Wood","DL ","6-4 ",273,"Jr./So. ","Cincinnati, Ohio  (Milford Academy) ",2000
33,"Charles Young III","WR ","5-10 ",186,"Fr./Fr. ","Flint, Mich.  (Hamady) ",2000
61,"Cyle Young*","DL ","6-0 ",288,"Sr./Jr. ","Springfield, Ohio  (Shawnee) ",2000
75,"Adam Adkins**","OL ","6-3 ",280,"Jr./So. ","Troy, Mich.  (Troy) ",1999
37,"Kurt Anderson*","DL ","6-4 ",272,"Jr./So. ","Glenbrook, Ill.  (South) ",1999
44,"Dave Armstrong","DL ","6-3 ",260,"So./Fr. ","Doylestown, Pa.  (Central Bucks West) ",1999
35,"B.J. Askew*","RB ","6-3 ",210,"Fr./Fr. ","Cincinnati, Ohio  (Colerain) ",1999
79,"Jeff Backus****","OL ","6-6 ",288,"Sr./Jr. ","Norcross, Ga.  (Norcross) ",1999
64,"Stephen Baker"," ","6-1 ",230,"So./Fr. ","Valley Stream, N.Y.  (Central) ",1999
29,"Ryan Beard","RB ","5-10 ",203,"Fr./Fr. ","Houston, Texas  (Cypress-Fairbanks) ",1999
19,"Ronald Bellamy*","WR ","6-1 ",175,"Fr./Fr. ","New Orleans, La.  (Archbishop Shaw) ",1999
18,"Mark Bergin*","QB ","6-2 ",196,"5th/Sr. ","Rochester Hills, Mich.  (Rochester) ",1999
90,"Norman Boebert","DL ","6-5 ",251,"Fr./Fr. ","Peoria, Ariz.  (Cactus) ",1999
60,"Grant Bowman","DL ","6-3 ",258,"Fr./Fr. ","Columbus, Ohio  (St. Francis De Sales) ",1999
34,"Philip Brabbs","K ","6-2 ",170,"Fr./Fr. ","Midland, Mich.  (H.H. Dow) ",1999
45,"Phillip Brackins","DB ","6-3 ",190,"Fr./Fr. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",1999
51,"Eric Brackins**","ILB ","6-2 ",229,"Jr./So. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",1999
10,"Tom Brady****","QB ","6-5 ",213,"5th/Sr. ","San Mateo, Calif.  (Serra) ",1999
65,"David Brandt***","OL ","6-4 ",295,"Sr./Jr. ","Jenison, Mich.  (Jenison) ",1999
59,"Grady Brooks***","OLB ","6-2 ",250,"Sr./Jr. ","Dallas, Texas  (Lincoln) ",1999
65,"Andy Brown","OL ","6-3 ",285,"Fr./Fr. ","Grand Ledge, Mich.  (Grand Ledge) ",1999
22,"Kevin Bryant****","WR ","6-0 ",183,"5th/Sr. ","Farminton Hills, Mich.  (Harrison) ",1999
18,"Tyrece Butler*","WR ","6-5 ",200,"Fr./Fr. ","Indianapolis, Ind.  (Decatur Central) ",1999
39,"Evan Coleman**","FB ","6-0 ",258,"So./So. ","Houston, Texas  (Elsik) ",1999
8,"Walter Cross**","RB ","5-11 ",196,"So./So. ","Fort Washington, Md.  (Oxon Hill) ",1999
33,"Brent Cummings","RB ","5-11 ",180,"Fr./Fr. ","Belding, Mich.  (Belding) ",1999
26,"Julius Curry*","SS ","6-0 ",180,"So./Fr. ","Detroit, Mich.  (Bishop Gallagher) ",1999
63,"P.J. Cwayna","ILB ","5-11 ",216,"Jr./So. ","Grand Rapids, Mich.  (East) ",1999
45,"Jeff Del Verne*","PK ","5-11 ",210,"Sr./Jr. ","Sylvania, Ohio  (St. John's) ",1999
15,"Travis DeMeester","QB ","6-3 ",200,"So./Fr. ","Ludington, Mich.  (Ludington) ",1999
73,"Joe Denay","OL ","6-7 ",293,"So./Fr. ","Bay City, Mich.  (John Glenn) ",1999
43,"Carl Diggs","LB ","6-2 ",220,"Fr./Fr. ","Warren, Ohio  (Warren G. Harding) ",1999
24,"Charles Drake*","RB ","6-1 ",185,"Fr./Fr. ","Los Angeles, Calif.  (Westchester) ",1999
89,"Deitan Dubuc","TE ","6-4 ",224,"So./Fr. ","Fabreville, Quebec  (Vieux Montreal) ",1999
25,"Hayden Epstein**","P/PK ","6-2 ",194,"So./So. ","Cardiff, Calif.  (Torrey Pines) ",1999
34,"Justin Fargas*","RB ","6-1 ",185,"So./So. ","Encino, Calif.  (Notre Dame) ",1999
17,"Larry Foote**","ILB ","6-1 ",211,"So./So. ","Detroit, Mich.  (Pershing) ",1999
36,"Bob Fraumann","LB ","6-3 ",220,"Jr./So. ","Deerfield, Ill.  (Deerfield) ",1999
64,"Steve Frazier****","OL ","6-4 ",288,"5th/Sr. ","Kingwood, Texas  (Kingwood) ",1999
66,"Kyle Froelich","OL ","6-4 ",299,"So./Fr. ","Okemos, Mich.  (Okemos) ",1999
99,"Jake Frysinger***","DL ","6-4 ",272,"Jr./Jr. ","Grosse Ile, Mich.  (Grosse Ile) ",1999
82,"Joe Ghannam","P ","5-11 ",175,"Fr./Fr. ","Farmington Hills, Mich.  (Harrison) ",1999
20,"Ian Gold****","ILB ","6-1 ",213,"Sr./Sr. ","Belleville, Mich.  (Belleville) ",1999
78,"Jonathan Goodwin*","OL ","6-4 ",290,"Jr./So. ","Columbia, S.C.  (Lower-Richland) ",1999
56,"James Hall**","OLB ","6-3 ",257,"5th/Sr. ","New Orleans, La.  (St. Augustine) ",1999
41,"Tommy Hendricks****","SS ","6-2 ",215,"Sr./Sr. ","Houston, Texas  (Eisenhower) ",1999
7,"Drew Henson**","QB ","6-4 ",221,"So./So. ","Brighton, Mich.  (Brighton) ",1999
6,"Victor Hobson*","ILB ","6-1 ",229,"So./Fr. ","Mt. Laurel, N.J.  (St. Joseph's Prep) ",1999
3,"Todd Howard**","CB ","5-10 ",178,"So./So. ","Bolingbrook, Ill.  (Bolingbrook) ",1999
80,"Tommy Huff","P ","6-2 ",190,"Fr./Fr. ","Bellevue, Wash.  (Bellevue) ",1999
76,"Steve Hutchinson***","OL ","6-5 ",296,"Sr./Jr. ","Coral Springs, Fla.  (Coral Springs) ",1999
31,"Kenneth Jackson***","SS ","5-10 ",183,"Sr./Sr. ","Houston, Texas  (Cypress Creek) ",1999
49,"Matt Johnson*","SS ","5-10 ",186,"5th/Sr. ","New Buffalo, Mich.  (New Buffalo) ",1999
9,"DiAllo Johnson***","WR ","6-3 ",193,"5th/Sr. ","Detroit, Mich.  (Orchard Lake St. Mary's) ",1999
4,"Tommy Jones","WR ","5-8 ",177,"Sr./Jr. ","Lansing, Mich.  (Sexton) ",1999
55,"Dhani Jones****","ILB ","6-2 ",225,"Sr./Sr. ","Potomac, Md.  (Winston Churchill) ",1999
83,"Bennie Joppru*","TE ","6-4 ",251,"So./Fr. ","Wayzata, Minn.  (Minnetonka) ",1999
28,"Anthony Jordan**","LB ","6-0 ",215,"Jr./So. ","Jersey City, N.J.  (St. Peters Prep) ",1999
2,"Cato June*","CB ","6-1 ",201,"So./Fr. ","Washington, D.C.  (Anacostia) ",1999
13,"Jason Kapsner****","QB ","6-6 ",223,"Sr./Jr. ","Eden Prarie, Minn.  (Eden Prarie) ",1999
12,"Mike Kaselitz","QB ","6-4 ",195,"Fr./Fr. ","Grosse Pointe City, Mich.  (South) ",1999
62,"Brodie Killian","OLB ","6-3 ",226,"Jr./So. ","Dearborn, Mich.  (Dearborn) ",1999
85,"Marcus Knight****","WR ","6-1 ",181,"Sr./Sr. ","Sylacauga, Ala.  (Comer) ",1999
2,"Brandon Kornblue*","PK ","5-10 ",180,"5th/Sr. ","Boca Raton, Fla.  (Boca Raton) ",1999
95,"Patrick Kratus****","DL ","6-3 ",265,"5th/Sr. ","Rocky River, Ohio  (Ignatius) ",1999
97,"Shawn Lazarus*","DL ","6-3 ",227,"So./Fr. ","Canal Fulton, Ohio  (Northwest) ",1999
21,"Jeremy LeSueur","DB ","6-1 ",177,"Fr./Fr. ","Holly Springs, Miss.  (Holly Springs) ",1999
25,"Michael Manning","CB ","6-2 ",204,"Jr./So. ","Worcester, Mass.  (St. John's) ",1999
72,"Ben Mast*","OL ","6-4 ",284,"Jr./So. ","Massilon, Ohio  (Washington) ",1999
14,"Andy Mignery","QB ","6-4 ",225,"Fr./Fr. ","Hamilton, Ohio  (Hamilton) ",1999
70,"Jeremy Miller*","OL/LS ","6-0 ",234,"Jr./So. ","Swanton, Ohio  (St. John's) ",1999
62,"Courtney Morgan","OL ","6-2 ",318,"Fr./Fr. ","Los Angeles, Calif.  (Westchester) ",1999
38,"Dwight Mosely","LB ","6-1 ",219,"So./Fr. ","Fort Wayne, Ind.  (Snider) ",1999
69,"Todd Mossa*","OL ","6-3 ",291,"Jr./So. ","Darien, Conn.  (Darien) ",1999
49,"Kirk Moundros*","FB ","6-2 ",210,"So./Fr. ","Farmington Hills, Mich.  (North Farmington) ",1999
35,"Blake Nasif*","WR ","6-0 ",185,"So./Fr. ","Lansing, Mich.  (Grand Ledge) ",1999
16,"John Navarre","QB ","6-6 ",220,"Fr./Fr. ","Cudahy, Wis.  (Cudahy) ",1999
53,"Shantee Orr","LB ","6-1 ",220,"Fr./Fr. ","Detroit, Mich.  (Denby) ",1999
28,"Scott Panique","FB ","6-0 ",250,"So./Fr. ","Santa Ana, Calif.  (Mater Dei) ",1999
77,"Tony Pape","OL ","6-7 ",290,"Fr./Fr. ","Clarendon Hills, Ill.  (Hinsdale South) ",1999
8,"Ryan Parini***","FS ","6-2 ",172,"Sr./Jr. ","Grand Rapids, Mich.  (Catholic Central) ",1999
15,"DeWayne Patmon***","FS ","6-0 ",181,"Jr./Jr. ","San Deigo, Calif.  (Patrick Henry) ",1999
57,"Dave Pearson","DL ","6-3 ",240,"Fr./Fr. ","Brighton, Mich.  (Brighton) ",1999
96,"Dave Petruziello*","DL ","6-4 ",267,"So./Fr. ","Mentor, Ohio  (Lake Catholic) ",1999
93,"Jason Ptak*"," ","6-2 ",292,"Sr./Jr. ","Wyandotte, Mich.  (Roosevelt) ",1999
58,"Rob Renes****","DL ","6-1 ",288,"5th/Sr. ","Holland, Mich.  (Holland West Ottawa) ",1999
29,"Aaron Richards","WR ","5-8 ",170,"Jr./So. ","Reading, Mich.  (Reading) ",1999
88,"Gary Rose","DL ","6-4 ",263,"Jr./So. ","Quinnesec, Mich.  (Kingsford) ",1999
40,"Eric Rosel**","OLB ","6-3 ",225,"Jr./So. ","Liberal, Kan.  (Liberal) ",1999
92,"Dan Rumishek*","DL ","6-2 ",251,"So./Fr. ","Addison, Ill.  (Addison Trail) ",1999
23,"Cory Sargent*","P ","6-3 ",187,"Sr./Jr. ","South Lyon, Mich.  (South Lyon) ",1999
42,"Tate Schanski****","CB ","5-11 ",190,"5th/Sr. ","Perry, Mich.  (Perry) ",1999
46,"Andy Sechler**","OLB ","6-1 ",234,"Sr./Jr. ","Union City, Mich.  (Union City) ",1999
81,"Bill Seymour**","TE ","6-3 ",248,"Jr./So. ","Granger, Ind.  (Penn) ",1999
59,"Joe Sgroi*","LB ","5-10 ",200,"So./Fr. ","Plymouth, Mich.  (Catholic Central) ",1999
30,"Jon Shaw","RB ","6-0 ",190,"Fr./Fr. ","Coral Springs, Fla.  (St. Thomas Aquinas) ",1999
36,"Aaron Shea****","TE ","6-5 ",251,"5th/Sr. ","Ottawa, Ill.  (Ottawa Township) ",1999
13,"Brian Smalls","DB ","5-9 ",170,"Fr./Fr. ","Williamsburg, Va.  (Lafayette) ",1999
16,"Rudy Smith","WR ","6-3 ",210,"Jr./So. ","Knoxville, Tenn.  (Farragut) ",1999
50,"Jeff Smokevitch****","ILB ","6-0 ",225,"5th/Sr. ","Birmingham, Mich.  (Seaholm) ",1999
74,"Demeterius Solomon","OL ","6-7 ",260,"Fr./Fr. ","Flint, Mich.  (Northern) ",1999
31,"John Spytek","LB ","6-4 ",217,"Fr./Fr. ","Pewaukee, Wis.  (Catholic Memorial) ",1999
1,"David Terrell**","WR ","6-3 ",198,"So./So. ","Richmond, Va.  (Huguenot) ",1999
32,"Anthony Thomas***","RB ","6-2 ",221,"Jr./Jr. ","Winnfield, La.  (Winnfield) ",1999
84,"Shawn Thompson**","TE ","6-4 ",243,"Jr./So. ","Saginaw, Mich.  (Nouvel) ",1999
19,"Tad Van Pelt","RB ","5-10 ",179,"So./Fr. ","Owosso, Mich.  (Corunna) ",1999
4,"Marquise Walker**","WR ","6-3 ",189,"So./So. ","Syracuse, N.Y.  (Henninger) ",1999
63,"Eric Warner","OL ","6-5 ",275,"Sr./Jr. ","Brighton, Mich.  (Brighton) ",1999
6,"Jonathan West","DB ","5-11 ",192,"Jr./So. ","Centerline, Mich.  (Warren-Lincoln) ",1999
5,"James Whitely***","CB ","5-11 ",190,"Jr./Jr. ","Norfolk, Va.  (Norview) ",1999
12,"Brandon Williams*","DB ","5-11 ",180,"Fr./Fr. ","Omaha, Neb.  (Central) ",1999
14,"Dan Williams***","DB ","6-0 ",185,"Sr./Jr. ","Temperance, Mich.  (Bedford) ",1999
54,"Maurice Williams***","OL ","6-5 ",283,"Jr./Jr. ","Detroit, Mich.  (Pershing) ",1999
91,"Josh Williams****","DL ","6-3 ",279,"5th/Sr. ","Houston, Texas  (Cyprus Creek) ",1999
94,"Eric Wilson***","DL ","6-4 ",279,"Sr./Jr. ","Monroe, Mich.  (Monroe) ",1999
68,"John Wood","DL ","6-4 ",242,"So./Fr. ","Cincinnati, Ohio  (Milford Academy) ",1999
61,"Cyle Young","DL ","6-0 ",264,"Jr./So. ","Springfield, Ohio  (Shawnee) ",1999
52,"Chris Ziemann****","OL ","6-7 ",288,"5th/Sr. ","Aurora, Ill.  (Waubonsie Valley) ",1999
75,"Adam Adkins**","OL ","6-3 ",262,"So./Fr. ","Troy, Mich.  (Troy) ",1998
37,"Kurt Anderson*","DL ","6-4 ",250,"So./Fr. ","Glenbrook, Ill.  (South) ",1998
44,"Dave Armstrong","DL ","6-3 ",260,"Fr./Fr. ","Doylestown, Pa.  (Central Bucks West) ",1998
79,"Jeff Backus***","OL ","6-6 ",288,"Jr./So. ","Norcross, Ga.  (Norcross) ",1998
46,"Kraig Baker**","PK ","6-1 ",183,"5th/Sr. ","Terre Haute, Ind.  (Terre Haute North ) ",1998
18,"Mark Bergin","QB ","6-2 ",195,"Sr./Jr. ","Rochester Hills, Mich.  (Rochester) ",1998
51,"Eric Brackins*","ILB ","6-2 ",229,"So./Fr. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",1998
10,"Tom Brady***","QB ","6-5 ",223,"Sr./Jr. ","San Mateo, Calif.  (Serra) ",1998
67,"David Brandt**","OL ","6-4 ",293,"Jr./So. ","Jenison, Mich.  (Jenison) ",1998
74,"Jason Brooks*","OL ","6-3 ",291,"So./Fr. ","Cleveland, Ohio  (St. Ignatius) ",1998
59,"Grady Brooks**","LB ","6-2 ",246,"Jr./So. ","Dallas, Texas  (Lincoln) ",1998
3,"Todd Brooks****","WR ","6-0 ",197,"5th/Sr. ","Freeport, Ill.  (Freeport) ",1998
18,"LeAundre Brown***","CB ","5-10 ",182,"Jr./So. ","Fort Worth, Texas  (O.D. Wyatt) ",1998
22,"Kevin Bryant***","WR ","6-0 ",182,"Sr./Jr. ","Farminton Hills, Mich.  (Harrison) ",1998
88,"Mark Campbell****","TE ","6-6 ",253,"5th/Sr. ","Clawson, Mich.  (Madison Heights Bishop Foley) ",1998
82,"Chad Carpenter***","TE ","6-4 ",243,"Jr./So. ","Bloomington, Ind.  (Bloomington South) ",1998
42,"Jared Chandler*","PK ","6-1 ",170,"Sr./Jr. ","Westlake, Ohio  (Westlake) ",1998
39,"Evan Coleman*","FB ","6-0 ",258,"Fr./Fr. ","Houston, Texas  (Elsik) ",1998
43,"Clint Copenhaver****","OLB ","6-4 ",243,"5th/Sr. ","Brighton, Mich.  (Brighton) ",1998
8,"Walter Cross*","RB ","5-11 ",196,"Fr./Fr. ","Fort Washington, Md.  (Oxon Hill) ",1998
26,"Julius Curry","SS ","6-0 ",180,"Fr./Fr. ","Detroit, Mich.  (Bishop Gallagher) ",1998
63,"P.J. Cwayna","ILB ","5-11 ",216,"So./Fr. ","Grand Rapids, Mich.  (East) ",1998
95,"Jeff Del Verne","PK ","5-11 ",210,"Jr./So. ","Sylvania, Ohio  (St. John's) ",1998
73,"Joe Denay","OL ","6-7 ",293,"Fr./Fr. ","Bay City, Mich.  (John Glenn) ",1998
4,"David Downs*","CB ","5-6 ",162,"Sr./Jr. ","Detroit, Mich.  (Detroit Cass Tech) ",1998
12,"Scott Driesbach****","QB ","6-4 ",210,"5th/Sr. ","Mishawaka, Ind.  (Penn) ",1998
89,"Deitan Dubuc","TE ","6-4 ",224,"Fr./Fr. ","Fabreville, Quebec  (Vieux Montreal) ",1998
