"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"1500","15","W","12-24-2013","38","Boise St. (ID)","23","Hawaii Bowl","Oregon St.","Oregon State University"
"1501","1","L","01-01-1923","3","Southern California","14","Tournament of Roses Game","Penn St.","The Pennsylvania State University"
"1502","2","T","01-01-1948","13","Southern Methodist (TX)","13","Cotton Bowl","Penn St.","The Pennsylvania State University"
"1503","3","W","12-19-1959","7","Alabama","0","Liberty Bowl","Penn St.","The Pennsylvania State University"
"1504","4","W","12-17-1960","41","Oregon","12","Liberty Bowl","Penn St.","The Pennsylvania State University"
"1505","5","W","12-30-1961","30","Georgia Tech","15","Gator Bowl","Penn St.","The Pennsylvania State University"
"1506","6","L","12-29-1962","7","Florida","17","Gator Bowl","Penn St.","The Pennsylvania State University"
"1507","7","T","12-30-1967","17","Florida St.","17","Gator Bowl","Penn St.","The Pennsylvania State University"
"1508","8","W","01-01-1969","15","Kansas","14","Orange Bowl","Penn St.","The Pennsylvania State University"
"1509","9","W","01-01-1970","10","Missouri","3","Orange Bowl","Penn St.","The Pennsylvania State University"
"1510","10","W","01-01-1972","30","Texas","6","Cotton Bowl","Penn St.","The Pennsylvania State University"
"1511","11","L","12-31-1972","0","Oklahoma","14","Sugar Bowl","Penn St.","The Pennsylvania State University"
"1512","12","W","01-01-1974","16","Louisiana St.","9","Orange Bowl","Penn St.","The Pennsylvania State University"
"1513","13","W","01-01-1975","41","Baylor (TX)","20","Cotton Bowl","Penn St.","The Pennsylvania State University"
"1514","14","L","12-31-1975","6","Alabama","13","Sugar Bowl","Penn St.","The Pennsylvania State University"
"1515","15","L","12-27-1976","9","Notre Dame (IN)","20","Gator Bowl","Penn St.","The Pennsylvania State University"
"1516","16","W","12-25-1977","42","Arizona St.","30","Fiesta Bowl","Penn St.","The Pennsylvania State University"
"1517","17","L","01-01-1979","7","Alabama","14","Sugar Bowl","Penn St.","The Pennsylvania State University"
"1518","18","W","12-22-1979","9","Tulane (LA)","6","Liberty Bowl","Penn St.","The Pennsylvania State University"
"1519","19","W","12-26-1980","31","Ohio St.","19","Fiesta Bowl","Penn St.","The Pennsylvania State University"
"1520","20","W","01-01-1982","26","Southern California","10","Fiesta Bowl","Penn St.","The Pennsylvania State University"
"1521","21","W","01-01-1983","27","Georgia","23","Sugar Bowl","Penn St.","The Pennsylvania State University"
"1522","22","W","12-26-1983","13","Washington","10","Aloha Bowl","Penn St.","The Pennsylvania State University"
"1523","23","L","01-01-1986","10","Oklahoma","25","Orange Bowl","Penn St.","The Pennsylvania State University"
"1524","24","W","01-02-1987","14","Miami (FL)","10","Fiesta Bowl","Penn St.","The Pennsylvania State University"
"1525","25","L","01-01-1988","10","Clemson (SC)","35","Florida Citrus Bowl","Penn St.","The Pennsylvania State University"
"1526","26","W","12-29-1989","50","Brigham Young (UT)","39","Holiday Bowl (1)","Penn St.","The Pennsylvania State University"
"1527","27","L","12-28-1990","17","Florida St.","24","Blockbuster Bowl","Penn St.","The Pennsylvania State University"
"1528","28","W","01-01-1992","42","Tennessee","17","Fiesta Bowl","Penn St.","The Pennsylvania State University"
"1529","29","L","01-01-1993","3","Stanford (CA)","24","Blockbuster Bowl","Penn St.","The Pennsylvania State University"
"1530","30","W","01-01-1994","31","Tennessee","13","Florida Citrus Bowl","Penn St.","The Pennsylvania State University"
"1531","31","W","01-02-1995","38","Oregon","20","Rose Bowl","Penn St.","The Pennsylvania State University"
"1532","32","W","01-01-1996","43","Auburn (AL)","14","Outback Bowl","Penn St.","The Pennsylvania State University"
"1533","33","W","01-01-1997","38","Texas","15","Fiesta Bowl","Penn St.","The Pennsylvania State University"
"1534","34","L","01-01-1998","6","Florida","21","Florida Citrus Bowl","Penn St.","The Pennsylvania State University"
"1535","35","N/A","01-01-1999","26","Kentucky","14","Outback Bowl - Penn St. Vacated Game","Penn St.","The Pennsylvania State University"
"1536","36","N/A","12-28-1999","24","Texas A&M","0","Alamo Bowl - Penn St. Vacated Game","Penn St.","The Pennsylvania State University"
"1537","37","L","01-01-2003","9","Auburn (AL)","13","Capital One Bowl","Penn St.","The Pennsylvania State University"
"1538","38","N/A","01-03-2006","26","Florida St.","23","Orange Bowl - Penn St. Vacated Game","Penn St.","The Pennsylvania State University"
"1539","39","N/A","01-01-2007","20","Tennessee","10","Outback Bowl - Penn St. Vacated Game","Penn St.","The Pennsylvania State University"
"1540","40","N/A","12-29-2007","24","Texas A&M","17","Alamo Bowl - Penn St. Vacated Game","Penn St.","The Pennsylvania State University"
"1541","41","L","01-01-2009","24","Southern California","38","Rose Bowl","Penn St.","The Pennsylvania State University"
"1542","42","N/A","01-01-2010","19","Louisiana St.","17","Capital One Bowl - Penn St. Vacated Game","Penn St.","The Pennsylvania State University"
"1543","43","L","01-01-2011","24","Florida","37","Outback Bowl","Penn St.","The Pennsylvania State University"
"1544","44","L","01-02-2012","14","Houston (TX)","30","TicketCity Bowl","Penn St.","The Pennsylvania State University"
"1545","1","L","01-02-1928","6","Stanford (CA)","7","Rose Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1546","2","L","01-01-1930","14","Southern California","47","Rose Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1547","3","L","01-02-1933","0","Southern California","35","Rose Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1548","4","W","01-01-1937","21","Washington","0","Rose Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1549","5","L","01-02-1956","0","Georgia Tech","7","Sugar Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1550","6","L","12-29-1956","14","Georgia Tech","21","Gator Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1551","7","L","12-21-1973","7","Arizona St.","28","Fiesta Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1552","8","W","12-26-1975","33","Kansas","19","Sun Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1553","9","W","01-01-1977","27","Georgia","3","Sugar Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1554","10","W","12-30-1977","34","Clemson (SC)","3","Gator Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1555","11","L","12-23-1978","17","North Carolina St.","30","Tangerine Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1556","12","W","12-25-1979","16","Arizona","10","Fiesta Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1557","13","W","12-29-1980","37","South Carolina","9","Gator Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1558","14","W","01-01-1982","24","Georgia","20","Sugar Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1559","15","L","01-01-1983","3","Southern Methodist (TX)","7","Cotton Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1560","16","L","01-02-1984","23","Ohio St.","28","Fiesta Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1561","17","L","12-31-1987","27","Texas","32","Bluebonnet Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1562","18","W","12-30-1989","31","Texas A&M","28","Sun Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1563","19","L","12-31-1997","7","Southern Mississippi","41","Liberty Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1564","20","L","12-28-2000","29","Iowa St.","37","Insight.com Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1565","21","W","12-20-2001","34","North Carolina St.","19","Tangerine Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1566","22","W","12-26-2002","38","Oregon St.","13","Insight Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1567","23","L","12-27-2003","16","Virginia","23","Continental Tire Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1568","24","L","01-01-2005","7","Utah","35","Fiesta Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1569","25","L","12-31-2008","0","Oregon St.","3","Sun Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1570","26","W","12-26-2009","19","North Carolina","17","Meineke Car Care Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1571","27","W","01-08-2011","27","Kentucky","10","BBVA Compass Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1572","28","L","01-07-2012","6","Southern Methodist (TX)","28","BBVA Compass Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1573","29","L","01-05-2013","17","Mississippi","38","BBVA Compass Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1574","30","W","12-26-2013","30","Bowling Green (OH)","27","Little Caesars Pizza Bowl","Pittsburgh (PA)","University of Pittsburgh"
"1575","1","W","01-02-1967","14","Southern California","13","Rose Bowl","Purdue (IN)","Purdue University"
"1576","2","W","12-25-1978","41","Georgia Tech","21","Peach Bowl","Purdue (IN)","Purdue University"
"1577","3","W","12-31-1979","27","Tennessee","22","Bluebonnet Bowl","Purdue (IN)","Purdue University"
"1578","4","W","12-27-1980","28","Missouri","25","Liberty Bowl","Purdue (IN)","Purdue University"
"1579","5","L","12-31-1984","24","Virginia","27","Peach Bowl","Purdue (IN)","Purdue University"
"1580","6","W","12-30-1997","33","Oklahoma St.","20","Alamo Bowl","Purdue (IN)","Purdue University"
"1581","7","W","12-29-1998","37","Kansas St.","34","Alamo Bowl","Purdue (IN)","Purdue University"
"1582","8","L","01-01-2000","25","Georgia","28","Outback Bowl","Purdue (IN)","Purdue University"
"1583","9","L","01-01-2001","24","Washington","34","Rose Bowl","Purdue (IN)","Purdue University"
"1584","10","L","12-31-2001","27","Washington St.","33","Sun Bowl","Purdue (IN)","Purdue University"
"1585","11","W","12-31-2002","34","Washington","24","Sun Bowl","Purdue (IN)","Purdue University"
"1586","12","L","01-01-2004","27","Georgia","34","Capital One Bowl","Purdue (IN)","Purdue University"
"1587","13","L","12-31-2004","23","Arizona St.","27","Sun Bowl","Purdue (IN)","Purdue University"
"1588","14","L","12-29-2006","7","Maryland","24","Champs Sports Bowl","Purdue (IN)","Purdue University"
"1589","15","W","12-26-2007","51","Central Michigan","48","Motor City Bowl","Purdue (IN)","Purdue University"
"1590","16","W","12-27-2011","37","Western Michigan","32","Little Caesars Pizza Bowl","Purdue (IN)","Purdue University"
"1591","17","L","01-01-2013","14","Oklahoma St.","58","Heart of Dallas Bowl","Purdue (IN)","Purdue University"
"1592","1","W","01-01-1938","28","Colorado","14","Cotton Bowl","Rice (TX)","Rice University"
"1593","2","W","01-01-1947","8","Tennessee","0","Orange Bowl","Rice (TX)","Rice University"
"1594","3","W","01-02-1950","27","North Carolina","13","Cotton Bowl","Rice (TX)","Rice University"
"1595","4","W","01-01-1954","28","Alabama","6","Cotton Bowl","Rice (TX)","Rice University"
"1596","5","L","01-01-1958","7","Navy (MD)","20","Cotton Bowl","Rice (TX)","Rice University"
"1597","6","L","01-02-1961","6","Mississippi","14","Sugar Bowl","Rice (TX)","Rice University"
"1598","7","L","12-16-1961","7","Kansas","33","Bluebonnet Bowl","Rice (TX)","Rice University"
"1599","8","L","12-22-2006","17","Troy (AL)","41","New Orleans Bowl","Rice (TX)","Rice University"
"1600","9","W","12-30-2008","38","Western Michigan","14","Texas Bowl","Rice (TX)","Rice University"
"1601","10","W","12-29-2012","33","Air Force (CO)","14","Armed Forces Bowl","Rice (TX)","Rice University"
"1602","11","L","12-31-2013","7","Mississippi St.","44","Liberty Bowl","Rice (TX)","Rice University"
"1603","1","L","12-16-1978","18","Arizona St.","34","Garden State Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1604","2","L","12-27-2005","40","Arizona St.","45","Insight Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1605","3","W","12-28-2006","37","Kansas St.","10","Texas Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1606","4","W","01-05-2008","52","Ball St. (IN)","30","International Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1607","5","W","12-29-2008","29","North Carolina St.","23","Papajohns.com Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1608","6","W","12-19-2009","45","Central Florida","24","Saint Petersburg Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1609","7","W","12-30-2011","27","Iowa St.","13","Pinstripe Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1610","8","L","12-28-2012","10","Virginia Tech","13","Russell Athletic Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1611","9","L","12-28-2013","16","Notre Dame (IN)","29","Pinstripe Bowl","Rutgers (NJ)","Rutgers, State University of New Jersey: Rutgers College"
"1612","1","L","01-01-1948","0","Hardin-Simmons (TX)","53","Balboa Stadium - Harbor Bowl","San Diego St. (CA)","San Diego State University"
"1613","2","W","12-06-1969","28","Boston (MA)","7","Rose Bowl - Pasadena Bowl","San Diego St. (CA)","San Diego State University"
"1614","3","L","12-30-1986","38","Iowa","39","Jack Murphy Stadium - Holiday Bowl (1)","San Diego St. (CA)","San Diego State University"
"1615","4","L","12-30-1991","17","Tulsa (OK)","28","Anaheim Stadium - Freedom Bowl","San Diego St. (CA)","San Diego State University"
"1616","5","L","12-19-1998","13","North Carolina","20","Sam Boyd Stadium - Las Vegas Bowl","San Diego St. (CA)","San Diego State University"
"1617","6","W","12-23-2010","35","Navy (MD)","14","Poinsettia Bowl","San Diego St. (CA)","San Diego State University"
"1618","7","L","12-17-2011","30","Louisiana-Lafayette","32","New Orleans Bowl","San Diego St. (CA)","San Diego State University"
"1619","8","L","12-20-2012","6","Brigham Young (UT)","23","Poinsettia Bowl","San Diego St. (CA)","San Diego State University"
"1620","9","W","12-21-2013","49","Buffalo (NY)","24","Idaho Potato Bowl","San Diego St. (CA)","San Diego State University"
"1621","1","W","01-01-1947","20","Utah St.","0","Raisin Bowl","San Jose St. (CA)","San Jose State University"
"1622","2","W","12-31-1949","20","Texas Tech","13","Raisin Bowl","San Jose St. (CA)","San Jose State University"
"1623","3","L","12-18-1971","9","Memphis (TN)","28","Pasadena Bowl","San Jose St. (CA)","San Jose State University"
"1624","4","L","12-19-1981","25","Toledo (OH)","27","California Bowl","San Jose St. (CA)","San Jose State University"
"1625","5","W","12-13-1986","37","Miami (OH)","7","California Bowl","San Jose St. (CA)","San Jose State University"
"1626","6","L","12-12-1987","27","Eastern Michigan","30","California Bowl","San Jose St. (CA)","San Jose State University"
"1627","7","W","12-08-1990","48","Central Michigan","24","California Bowl","San Jose St. (CA)","San Jose State University"
"1628","8","W","12-23-2006","20","New Mexico","12","New Mexico Bowl","San Jose St. (CA)","San Jose State University"
"1629","9","W","12-27-2012","29","Bowling Green (OH)","20","Military Bowl","San Jose St. (CA)","San Jose State University"
"1630","1","L","01-01-1946","14","Wake Forest (NC)","26","Gator Bowl","South Carolina","University of South Carolina-Columbia"
"1631","2","L","12-30-1969","3","West Virginia","14","Peach Bowl","South Carolina","University of South Carolina-Columbia"
"1632","3","L","12-20-1975","7","Miami (OH)","20","Tangerine Bowl","South Carolina","University of South Carolina-Columbia"
"1633","4","L","12-29-1979","14","Missouri","24","Hall of Fame Classic","South Carolina","University of South Carolina-Columbia"
"1634","5","L","12-29-1980","9","Pittsburgh (PA)","37","Gator Bowl","South Carolina","University of South Carolina-Columbia"
"1635","6","L","12-28-1984","14","Oklahoma St.","21","Gator Bowl","South Carolina","University of South Carolina-Columbia"
"1636","7","L","12-31-1987","13","Louisiana St.","30","Gator Bowl","South Carolina","University of South Carolina-Columbia"
