"Year","Conference","Team"
1916,"Independent","Western Michigan"
1917,"Independent","Western Michigan"
1918,"Independent","Western Michigan"
1919,"Independent","Western Michigan"
1920,"Independent","Western Michigan"
1921,"Independent","Western Michigan"
1922,"Independent","Western Michigan"
1923,"Independent","Western Michigan"
1924,"Independent","Western Michigan"
1925,"Independent","Western Michigan"
1926,"Independent","Western Michigan"
1927,"Michigan Collegiate Conference","Western Michigan"
1928,"Michigan Collegiate Conference","Western Michigan"
1929,"Michigan Collegiate Conference","Western Michigan"
1930,"Michigan Collegiate Conference","Western Michigan"
1931,"Independent","Western Michigan"
1932,"Independent","Western Michigan"
1933,"Independent","Western Michigan"
