"No","Year","Record","APRank","CoachRank","Team","offName"
"31","2002","9-4-0","14","16","Auburn (AL)","Auburn University"
"32","2004","13-0-0","2","2","Auburn (AL)","Auburn University"
"33","2005","9-3-0","14","14","Auburn (AL)","Auburn University"
"34","2006","11-2-0","9","8","Auburn (AL)","Auburn University"
"35","2007","9-4-0","15","14","Auburn (AL)","Auburn University"
"36","2010","14-0-0","1","1","Auburn (AL)","Auburn University"
"37","2013","12-2-0","2","2","Auburn (AL)","Auburn University"
"1","1949","8-2-0","20","","Baylor (TX)","Baylor University"
"2","1950","7-3-0","","15","Baylor (TX)","Baylor University"
"3","1951","8-2-1","9","9","Baylor (TX)","Baylor University"
"4","1954","7-4-0","18","","Baylor (TX)","Baylor University"
"5","1956","9-2-0","11","11","Baylor (TX)","Baylor University"
"6","1960","8-3-0","12","11","Baylor (TX)","Baylor University"
"7","1963","8-3-0","","20","Baylor (TX)","Baylor University"
"8","1974","8-4-0","14","14","Baylor (TX)","Baylor University"
"9","1976","7-3-1","","19","Baylor (TX)","Baylor University"
"10","1979","8-4-0","14","15","Baylor (TX)","Baylor University"
"11","1980","10-2-0","14","13","Baylor (TX)","Baylor University"
"12","1985","9-3-0","17","15","Baylor (TX)","Baylor University"
"13","1986","9-3-0","12","13","Baylor (TX)","Baylor University"
"14","2011","10-3-0","13","12","Baylor (TX)","Baylor University"
"15","2013","11-2-0","13","13","Baylor (TX)","Baylor University"
"1","2002","12-1-0","15","12","Boise St. (ID)","Boise State University"
"2","2003","13-1-0","16","15","Boise St. (ID)","Boise State University"
"3","2004","11-1-0","12","13","Boise St. (ID)","Boise State University"
"4","2006","13-0-0","5","6","Boise St. (ID)","Boise State University"
"5","2008","12-1-0","11","13","Boise St. (ID)","Boise State University"
"6","2009","14-0-0","4","4","Boise St. (ID)","Boise State University"
"7","2010","12-1-0","9","7","Boise St. (ID)","Boise State University"
"8","2011","12-1-0","8","6","Boise St. (ID)","Boise State University"
"9","2012","11-2-0","18","14","Boise St. (ID)","Boise State University"
