name,position,team,year,poy,team1,team2,team3
Brian Simmons,LB,North Carolina,1996,,,1,
Takeo Spikes,LB,Auburn,1996,,,1,
Kim Herring,DB,Penn State,1996,,,1,
Shawn Springs,DB,Ohio State,1996,,,1,
Bryant Westbrook,DB,Texas,1996,,,1,
Kenny Wheaton,DB,Oregon,1996,,,1,
Brad Maynard,P,Ball State,1996,,,1,
Peyton Manning,QB,Tennessee,1996,,,,1
Ron Dayne,RB,Wisconsin,1996,,,,1
Corey Dillon,RB,Washington,1996,,,,1
Ike Hilliard,WR,Florida,1996,,,,1
Kevin Lockett,WR,Kansas State,1996,,,,1
David LaFleur,TE,Louisiana State,1996,,,,1
Jeff Mitchell,C,Florida,1996,,,,1
Ben Kaufman,OL,Texas Tech,1996,,,,1
Adam Meadows,OL,Georgia,1996,,,,1
Scott Sanderson,OL,Washington State,1996,,,,1
Jerry Wunsch,OL,Wisconsin,1996,,,,1
Damon Shea,K,Nevada,1996,,,,1
Jason Chorak,DL,Washington,1996,,,,1
Greg Ellis,DL,North Carolina,1996,,,,1
Leonard Little,DL,Tennessee,1996,,,,1
Darrell Russell,DL,Southern California,1996,,,,1
Tyrus McCloud,LB,Louisville,1996,,,,1
Keith Mitchell,LB,Texas A&M,1996,,,,1
Antwaune Ponds,LB,Syracuse,1996,,,,1
Anthony Simmons,LB,Clemson,1996,,,,1
Eric Allen,DB,Indiana,1996,,,,1
Ronde Barber,DB,Virginia,1996,,,,1
Sam Madison,DB,Louisville,1996,,,,1
Steve Rosga,DB,Colorado,1996,,,,1
Toby Gowin,P,North Texas,1996,,,,1
Tommie Frazier,QB,Nebraska,1995,,1,,
Eddie George,RB,Ohio State,1995,,1,,
Troy Davis,RB,Iowa State,1995,,1,,
Terry Glenn,WR,Ohio State,1995,,1,,
Keyshawn Johnson,WR,Southern California,1995,,1,,
Marco Battaglia,TE,Rutgers,1995,,1,,
Aaron Graham,C,Nebraska,1995,,1,,
Jason Odom,OL,Florida,1995,,1,,
Jonathan Ogden,OL,UCLA,1995,,1,,
Orlando Pace,OL,Ohio State,1995,,1,,
Heath Irwin,OL,Colorado,1995,,1,,
Michael Reeder,K,Texas Christian,1995,,1,,
Tedy Bruschi,DL,Arizona,1995,,1,,
Cornell Brown,DL,Virginia Tech,1995,,1,,
Marcus Jones,DL,North Carolina,1995,,1,,
Jared Tomich,DL,Nebraska,1995,,1,,
Pat Fitzgerald,LB,Northwestern,1995,,1,,
Ray Lewis,LB,Miami FL,1995,,1,,
Zach Thomas,LB,Texas Tech,1995,,1,,
Kevin Hardy,LB,Illinois,1995,,1,,
Chris Canty,DB,Kansas State,1995,,1,,
Lawyer Milloy,DB,Washington,1995,,1,,
Greg Myers,DB,Colorado State,1995,,1,,
Brad Maynard,P,Ball State,1995,,1,,
Danny Wuerffel,QB,Florida,1995,,,1,
Darnell Autry,RB,Northwestern,1995,,,1,
George Jones,RB,San Diego State,1995,,,1,
Chris Doering,WR,Florida,1995,,,1,
Alex Van Dyke,WR,Nevada,1995,,,1,
Brian Roche,TE,San Jose State,1995,,,1,
Clay Shiver,C,Florida State,1995,,,1,
Willie Anderson,OL,Auburn,1995,,,1,
Jeff Hartings,OL,Penn State,1995,,,1,
Jason Layman,OL,Tennessee,1995,,,1,
Dan Neil,OL,Texas,1995,,,1,
Sam Valenzisi,K,Northwestern,1995,,,1,
Tony Brackens,DL,Texas,1995,,,1,
Tim Colston,DL,Kansas State,1995,,,1,
Jason Horn,DL,Michigan,1995,,,1,
Brandon Mitchell,DL,Texas A&M,1995,,,1,
Duanne Clemons,LB,California,1995,,,1,
Terrell Farley,LB,Nebraska,1995,,,1,
Simeon Rice,LB,Illinois,1995,,,1,
Aaron Beasley,DB,West Virginia,1995,,,1,
Brian Dawkins,DB,Clemson,1995,,,1,
Percy Ellsworth,DB,Virginia,1995,,,1,
Alex Molden,DB,Oregon,1995,,,1,
Brian Gragert,P,Wyoming,1995,,,1,
Peyton Manning,QB,Tennessee,1995,,,,1
Mike Alstott,RB,Purdue,1995,,,,1
Tim Biakabutuka,RB,Michigan,1995,,,,1
Bobby Engram,WR,Penn State,1995,,,,1
Derrick Mayes,WR,Notre Dame,1995,,,,1
Pat Fitzgerald,TE,Texas,1995,,,,1
Bryan Stoltenbery,C,Colorado,1995,,,,1
Chris Banks,OL,Kansas,1995,,,,1
Ryan Leahy,OL,Notre Dame,1995,,,,1
Roman Oben,OL,Louisville,1995,,,,1
Jon Runyan,OL,Michigan,1995,,,,1
Eric Abrams,K,Stanford,1995,,,,1
Cedric Jones,DL,Oklahoma,1995,,,,1
J.C. Price,DL,Virgina Tech,1995,,,,1
Mike Vrabel,DL,Ohio State,1995,,,,1
Grant Wistrom,DL,Nebraska,1995,,,,1
Percell Gaskins,LB,Kansas State,1995,,,,1
Matt Russell,LB,Colorado,1995,,,,1
Anthony Simmons,LB,Clemson,1995,,,,1
Kevin Abrams,DB,Syracuse,1995,,,,1
Ray Mickens,DB,Texas A&M,1995,,,,1
Willie Smith,DB,Louisiana Tech,1995,,,,1
Jerome Woods,DB,Memphis,1995,,,,1
Greg Ivy,P,Oklahoma State,1995,,,,1
Michael Westbrook,WR, Colorado,1994,,1,,
