name,position,team,year,poy,team1,team2,team3
Ron Rivera,LB,California,1983,,1,,
Ricky Hunley,LB,Arizona,1983,,1,,
Wilber Marshall,LB,Florida,1983,,1,,
Don Rogers,B,UCLA,1983,,1,,
Jerry Gray,B,Texas,1983,,1,,
Mossy Cade,B,Texas,1983,,1,,
Russell Carter,B,Southern Methodist,1983,,1,,
Terry Hoage,B,Georgia,1983,,1,,
Jim Colquitt,P,Tennessee,1983,,1,,
Jack Weil,P,Wyoming,1983,,1,,
Anthony Carter,WR,Michigan,1982,,1,,
Gordon Hudson,TE,Brigham Young,1982,,1,,
Don Mosebar,L,Southern California,1982,,1,,
Jimbo Covert,L,Pittsburgh,1982,,1,,
Steve Korte,L,Arkansas,1982,,1,,
Bruce Matthews,L,Southern California,1982,,1,,
Dave Drechsler,L,North Carolina,1982,,1,,
Dave Rimington,C,Nebraska,1982,,1,,
John Elway,QB,Stanford,1982,,1,,
Herschel Walker,B,Georgia,1982,,1,,
Eric Dickerson,B,Southern Methodist,1982,,1,,
Ernest Anderson,B,Oklahoma State,1982,,1,,
Mike Rozier,B,Nebraska,1982,,1,,
Chuck Nelson,PK,Washington,1982,,1,,
Billy Ray Smith,L,Arkansas,1982,,1,,
Jimmy Payne,L,Georgia,1982,,1,,
Mike Pitts,L,Alabama,1982,,1,,
Tim Krumrie,L,Wisconsin,1982,,1,,
Wilber Marshall,L,Florida,1982,,1,,
George Achica,L,Southern California,1982,,1,,
Gabriel Rivera,L,Texas Tech,1982,,1,,
Mark Stewart,LB,Washington,1982,,1,,
Darryl Talley,LB,West Virginia,1982,,1,,
Marcus Marek,LB,Ohio State,1982,,1,,
Vernon Maxwell,LB,Arizona State,1982,,1,,
Rick Bryan,LB,Oklahoma,1982,,1,,
Mike Richardson,B,Arizona State,1982,,1,,
Terry Hoage,B,Georgia,1982,,1,,
Tommy Wilcox,B,Alabama,1982,,1,,
Terry Kinard,B,Clemson,1982,,1,,
Reggie Roby,P,Iowa,1982,,1,,
Jim Arnold,P,Vanderbilt,1982,,1,,
Anthony Carter,WR,Michigan,1981,,1,,
Tim Wrightman,TE,UCLA,1981,,1,,
Terry Tausch,L,Texas,1981,,1,,
"William ""Bubba"" Paris",L,Michigan,1981,,1,,
Sean Farrell,L,Penn State,1981,,1,,
Roy Foster,L,Southern California,1981,,1,,
Terry Crouch,L,Oklahoma,1981,,1,,
Ed Muransky,L,Michigan,1981,,1,,
Kurt Becker,L,Michigan,1981,,1,,
Dave Rimington,C,Nebraska,1981,,1,,
Dan Marino,QB,Pittsburgh,1981,,1,,
Jim McMahon,QB,Brigham Young,1981,,1,,
Marcus Allen,B,Southern California,1981,,1,,
Herschel Walker,B,Georgia,1981,,1,,
Curt Warner,B,Penn State,1981,,1,,
Morten Andersen,PK,Michigan State,1981,,1,,
Billy Ray Smith,L,Arkansas,1981,,1,,
Jimmy Williams,L,Nebraska,1981,,1,,
Andre Tippett,L,Iowa,1981,,1,,
Kenneth Sims,L,Texas,1981,,1,,
Lester Williams,L,Miami FL,1981,,1,,
Tim Krumrie,MG,Wisconsin,1981,,1,,
Bob Crable,LB,Notre Dame,1981,,1,,
Tom Boyd,LB,Alabama,1981,,1,,
Chip Banks,LB,Southern California,1981,,1,,
Jeff Davis,LB,Clemson,1981,,1,,
Sal Sunseri,LB,Pittsburgh,1981,,1,,
Vann McElroy,B,Baylor,1981,,1,,
Mike Richardson,B,Arizona State,1981,,1,,
Tommy Wilcox,B,Alabama,1981,,1,,
Terry Kinard,B,Clemson,1981,,1,,
Fred Marion,B,Miami FL,1981,,1,,
Reggie Roby,P,Iowa,1981,,1,,
Ken Margerum,WR,Stanford,1980,,1,,
Dave Young,TE,Purdue,1980,,1,,
Louis Oubre,L,Oklahoma,1980,,1,,
Keith Van Horne,L,Southern California,1980,,1,,
Mark May,L,Pittsburgh,1980,,1,,
Randy Schleusener,L,Nebraska,1980,,1,,
Ron Wooten,L,North Carolina,1980,,1,,
George Lilja,C,Michigan,1980,,1,,
John Scully,C,Notre Dame,1980,,1,,
Mark Herrmann,QB,Purdue,1980,,1,,
George Rogers,B,South Carolina,1980,,1,,
Herschel Walker,B,Georgia,1980,,1,,
Jarvis Redwine,B,Nebraska,1980,,1,,
Rex Robinson,PK,Georgia,1980,,1,,
Hugh Green,L,Pittsburgh,1980,,1,,
E. J. Junior,L,Alabama,1980,,1,,
Kenneth Sims,L,Texas,1980,,1,,
Len Mitchell,L,Houston,1980,,1,,
Hosca Taylor,L,Houston,1980,,1,,
Ron Simmons,MG,Florida State,1980,,1,,
Mike Singletary,LB,Baylor,1980,,1,,
Tom Boyd,LB,Alabama,1980,,1,,
Bob Crable,LB,Notre Dame,1980,,1,,
Lawrence Taylor,LB,North Carolina,1980,,1,,
David Little,LB,Florida,1980,,1,,
Ken Easley,B,UCLA,1980,,1,,
Ron Lott,B,Southern California,1980,,1,,
Scott Woerner,B,Georgia,1980,,1,,
John Simmons,B,Southern Methodist,1980,,1,,
Ray Stachowicz,P,Michigan State,1980,,1,,
Ken Margerum,WR,Stanford,1979,,1,,
Junior Miller,TE,Nebraska,1979,,1,,
Greg Kolenda,T,Arkansas,1979,,1,,
Melvin Jones,T,Houston,1979,,1,,
Jim Bunch,T,Alabama,1979,,1,,
Brad Budde,G,Southern California,1979,,1,,
Ken Fritz,G,Ohio State,1979,,1,,
Jim Ritcher,C,North Carolina State,1979,,1,,
Marc Wilson,QB,Brigham Young,1979,,1,,
Charles White,B,Southern California,1979,,1,,
Billy Sims,B,Oklahoma,1979,,1,,
Vagas Ferguson,B,Notre Dame,1979,,1,,
Dale Castro,PK,Maryland,1979,,1,,
Hugh Green,L,Pittsburgh,1979,,1,,
Jacob Green,L,Texas A&M,1979,,1,,
Steve McMichael,L,Texas,1979,,1,,
Bruce Clark,L,Penn State,1979,,1,,
Jim Stuckey,L,Clemson,1979,,1,,
Ron Simmons,MG,Florida State,1979,,1,,
George Cumby,LB,Oklahoma,1979,,1,,
Mike Singletary,LB,Baylor,1979,,1,,
Ron Simpkins,LB,Michigan,1979,,1,,
Ken Easley,B,UCLA,1979,,1,,
Roland James,B,Tennessee,1979,,1,,
Johnnie Johnson,B,Texas,1979,,1,,
Jim Miller,P,Mississippi,1979,,1,,
Emanuel Tolbert,WR,Southern Methodist,1978,,1,,
Kellen Winslow,TE,Missouri,1978,,1,,
Kelvin Clark,T,Nebraska,1978,,1,,
